Name,Address,Personal Number,Credit Card,IPv4
Lene Strøm,"Jacobsentoppen 6A, 4129 Jacobsen",07043922437,213117276321358,216.104.13.172
Roar Edvardsen,"Myhretoppen 49D, 0776 Jørgensen",05044641161,373150725656419,79.98.25.162
John Ahmed,"Knutsenplassen 3A, 9509 Andersen",11053542001,344398063188430,158.167.52.148
Bjørn Dahl,"Johnsenholtet 8E, 2725 Berg",28086246726,180063793736778,154.71.150.241
Tommy Pettersen,"Næsseggen 4, 4227 Jenssen",22127929452,3536738413542772,12.85.46.19
Marit Abrahamsen,"Simonsenvollen 61, 7225 Holm",05106927822,3552964273047749,168.41.37.233
Elise-Anne Lunde,"Antonsenlunden 8A, 4439 Metteø",10109116756,2225656991810726,7.69.60.92
Andreas Arnesen,"Andresenhagen 954, 6239 Ingeborgnes",19017925728,3561404476069348,116.53.241.5
Bjørg Andersen,"Hanssenløkka 2, 1245 Johnsen",23075215274,4132408140688266,36.141.98.79
Tom Lund-Bøe,"Svendsenhaugen 92, 8628 Martinevær",02018444626,372961516680744,105.245.102.201
Jenny Moe,"Hagenstykket 63, 6835 Hanneø",09070374762,378512206483255,157.109.212.239
Dr. Jan Moen,"Gundersenfaret 16F, 7161 Royodden",13027909951,4411330157143377,181.212.180.65
Sigurd Mikkelsen-Pedersen,"Andresenflata 52B, 8612 Pedersen",12077729966,30108138745034,58.7.13.60
Maria Thomassen,"Dahlplassen 9G, 1305 Sondrefjell",23048337317,6588472838182291,146.243.220.235
Grethe Johnsen,"Engenkroken 93B, 0214 Ali",17118646592,588064087483,3.79.31.169
Maria Christensen,"Rasmussenberget 404, 2693 Emiliestrand",27083737528,6565993964036842,56.23.185.122
Torbjørn-Jørgen Helland,"Evensenflata 4B, 1409 Madsen",17125709796,3503649224521849,180.122.242.129
Tore Helland,"Johnsenengen 2, 4179 Terjesand",07059448883,6561555366984335,187.188.150.245
Sara Pedersen,"Thorsenplassen 2, 7277 Terjeby",11034231402,2705749178310740,165.215.197.210
Janne Isaksen,"Rønningtoppen 38, 0825 Markusfjord",28024044949,6011965143386173,69.39.93.70
Nils Dahl,"Evensengrenda 5, 6736 Andreassen",20069532897,30581446845060,32.92.136.142
Asbjørn Jacobsen,"Antonsenkroken 5E, 1456 Tommysand",29040486052,4807923707030011,52.63.26.161
Morten Mathisen-Strøm,"Haugelunden 9C, 3516 Eirikhamn",04059700249,4152905429083502,80.102.230.176
Harald Lien,"Engenroa 6, 6967 Linesjøen",29056114503,4603313782487985964,18.122.35.154
